"project_id","project_name","milestone_name","milestone_description","milestone_status","milestone_start_date","milestone_completion_date","planned_start_date","planned_completion_date","document_id","document_name"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7395,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7396,"Plumbing and installation pictures"
11179,"Abon East Africa Ltd, 2017-3 ","SME Kitting/Manufacturing/Delivery","SME Kitting/Manufacturing/Delivery","Pending","2017-06-06 05:00:00","2017-06-23 05:00:00","2017-06-06 05:00:00","2017-06-23 05:00:00",7397,"Plumbing and installation pictures"
11178,"Abon East Africa Ltd, 2017-2","In Transit","Afritech shipment","Completed","2017-04-30 05:00:00","2017-05-10 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",7431,"Afritech receipt of goods e-mail confirmation"
11178,"Abon East Africa Ltd, 2017-2","In Transit","Afritech shipment","Completed","2017-04-30 05:00:00","2017-05-10 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",7432,"Afritech receipt of goods e-mail confirmation"
11178,"Abon East Africa Ltd, 2017-2","In Transit","Afritech shipment","Completed","2017-04-30 05:00:00","2017-05-10 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",7433,"Afritech receipt of goods e-mail confirmation"
11178,"Abon East Africa Ltd, 2017-2","In Transit","Afritech shipment","Completed","2017-04-30 05:00:00","2017-05-10 05:00:00","2017-05-15 05:00:00","2017-06-09 05:00:00",7434,"Receipt of Afritech goods by Frank and Payor"
11179,"Abon East Africa Ltd, 2017-3 ","In Transit","In Transit","Completed","2017-04-17 05:00:00","2017-06-10 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7475,"Receipt of Afritech goods"
11179,"Abon East Africa Ltd, 2017-3 ","In Transit","In Transit","Completed","2017-04-17 05:00:00","2017-06-10 05:00:00","2017-04-17 05:00:00","2017-06-09 05:00:00",7476,"Receipt of Afritech goods"
11179,"Abon East Africa Ltd, 2017-3 ","Payments","Payments","Completed","2017-04-13 05:00:00","2017-05-12 05:00:00","2017-04-13 05:00:00","2017-05-14 05:00:00",7617,"Supplier payment reconciliation 5222017"
